"MgO" "Al2O3" "SiO2" "P2O5" "S" "Cl" "K2O" "CaO" "Ti" "V" "Cr" "Mn" "Fe" "Co" "Ni" "Cu" "Zn" "As" "Se" "Rb" "Sr" "Y" "Zr" "Nb" "Mo" "Rh" "Pd" "Ag" "Cd" "Sn" "Sb" "Ba" "La" "Ce" "Hf" "Ta" "W" "Pt" "Au" "Hg" "Tl" "Pb" "Bi" "Th" "U"
"1" 0.0565030344933548 0.25106876377444 0.456717074552966 0.042063804647499 0.00313270336894002 0.0382399161864851 0.372971623533328 0.102936782181632 0.465127947817361 NA NA 0.21523178807947 0.392171910974674 NA 0.21875 0.128440366972477 0.337837837837838 NA NA 0.527777777777778 0.0322398190045249 0.36 0.276923076923077 0.363636363636364 NA NA NA NA NA 0.206521739130435 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" 0.196025709969015 0.56327170055142 0.753953961791419 0.0911382434029145 0.0014379622021364 0.0801466736511263 0.712906715486394 0.0672287901192948 0.611975246696772 0.115702479338843 NA 0.381622516556291 0.615886415963162 NA 0.28125 0.073394495412844 0.243243243243243 0.05 NA 0.472222222222222 0.0248868778280543 0.36 0.261538461538462 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" 0.139497067936801 0.464007222453333 0.683056686501722 0.0712879086254431 NA 0.0636458878994238 0.628193392693684 0.0601415907506302 0.591068740592072 0.231404958677686 NA 0.311258278145695 0.557529960446307 NA 0.375 0.110091743119266 0.310810810810811 0.15 NA 0.527777777777778 0.0288461538461538 0.36 0.315384615384615 0.181818181818182 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" 0.150687562418376 0.372903408537719 0.697459472357687 0.0693974005513982 NA 0.0772655840754322 0.377548472996588 0.0181087521165825 0.326141495233317 NA NA 0.112582781456954 0.235078812208513 NA NA 0.036697247706422 0.0945945945945946 0.2 NA 0.25 0.0141402714932127 0.08 0.207692307692308 NA 0.142857142857143 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" 0.191774858518348 0.275949053380657 0.473705501618123 0.01220953131154 NA 0.0413829229963332 0.393609053840393 0.0177428993924163 0.471818029770865 0.177685950413223 NA 0.144039735099338 0.349755003246945 NA 0.3125 0.055045871559633 0.243243243243243 0.1 NA 0.416666666666667 0.0209276018099547 0.16 0.365384615384615 0.272727272727273 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" 0.0954008860208446 0.380833945530664 0.768243031631694 0.0862544308782985 0.00996302382908792 0.191985332634887 0.500457684946326 0.0341334845269199 0.347382505435692 0.18595041322314 NA 0.114238410596026 0.251608713619458 NA 0.0625 0.036697247706422 0.0675675675675676 0.1 NA 0.305555555555556 0.0124434389140271 0.2 0.119230769230769 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" 0.194642902870605 0.274577141289243 0.45672453134088 0.0558487593540764 0.0121199671322925 0.0903614457831325 0.317966214529417 0.102488564708046 0.415286837263756 NA NA 0.169701986754967 0.269496428360588 NA 0.375 0.091743119266055 0.108108108108108 0.1 NA 0.222222222222222 0.0673076923076923 0.12 0.496153846153846 0.363636363636364 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" 0.114440091162838 0.176180065674759 0.442920152715017 0.0288302481291847 NA 0.0602409638554217 0.256470000832154 0.0543703119133906 0.277638401070413 0.119834710743802 NA 0.251655629139073 0.221146466733573 NA 0.53125 0.091743119266055 0.135135135135135 0.1 NA 0.25 0.0158371040723982 0.16 0.107692307692308 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" 0.205974238815907 0.621237199175082 0.85870319001387 0.0382827884994092 0.00590591618734593 0.0845992666317444 0.577431971373887 0.106620210394048 0.543067402575682 0.12396694214876 NA 0.298841059602649 0.581970600389633 NA 0.1875 0.073394495412844 0.202702702702703 0.15 NA 0.333333333333333 0.0248868778280543 0.24 0.142307692307692 0.272727272727273 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" 0.176499961588692 0.345500570892451 0.566589116072361 0.089641591177629 0.00487880032867707 0.0790990047145102 0.466755429807772 0.114460185263222 0.520990132129119 NA NA 0.257450331125828 0.373811913336088 NA 0.21875 0.100917431192661 0.216216216216216 NA NA 0.388888888888889 0.0328054298642534 0.2 0.180769230769231 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.0588235294117647 NA NA NA
