Sample,File #,DateTime,Application,Method,ElapsedTime,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P2O5,P2O5 Err,S,S Err,Cl,Cl Err,K2O,K2O Err,CaO,CaO Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Cal Check
PP-7,2563,11-19-2020 06:50,GeoChem,GeoChem Trace,180,3.9119,1.9622,5.1267,0.1911,19.1909,0.1741,0.1623,0.0246,0.0398,0.0095,0.0181,0.0043,0.5588,0.0081,13.6373,0.0282,0.2211,0.0037,0.0034,0.0015,< LOD,0.001,0.0494,0.0029,2.8254,0.0131,< LOD,0.0027,0.0034,0.0007,0.0053,0.0005,0.0037,0.0004,0.0003,0.0002,< LOD,0.0002,0.0034,0.0003,0.0284,0.0005,0.0024,0.0005,0.0116,0.0004,0.0006,0.0004,< LOD,0.0005,0.0203,0.0008,< LOD,0.0017,0.0046,0.001,< LOD,0.0017,< LOD,0.0134,< LOD,0.0044,< LOD,0.0131,< LOD,0.0267,< LOD,0.0078,< LOD,0.0003,< LOD,0.0006,< LOD,0.0006,< LOD,0.0006,< LOD,0.0009,< LOD,0.0003,< LOD,0.0003,< LOD,0.0009,< LOD,0.001,< LOD,0.0014,< LOD,0.0035,Passed
PP-8,2564,11-19-2020 06:55,GeoChem,GeoChem Trace,180,3.9428,1.303,5.3713,0.2031,17.301,0.1728,0.2664,0.0291,0.1035,0.0092,0.0273,0.0054,0.3969,0.0082,22.1743,0.0359,0.1772,0.0038,0.0023,0.0016,0.0216,0.0012,0.0345,0.0026,1.9132,0.0116,< LOD,0.002,0.0023,0.0008,0.0062,0.0006,0.0029,0.0004,0.0006,0.0002,< LOD,0.0003,0.0021,0.0003,0.0254,0.0005,0.0025,0.0005,0.007,0.0004,0.0007,0.0005,< LOD,0.0005,,,< LOD,0.0015,0.0024,0.0011,< LOD,0.0019,< LOD,0.0106,< LOD,0.005,< LOD,0.0151,< LOD,0.0227,< LOD,0.0086,< LOD,0.0003,< LOD,0.0006,< LOD,0.0008,< LOD,0.0005,< LOD,0.0011,< LOD,0.0003,< LOD,0.0003,< LOD,0.0012,< LOD,0.0012,< LOD,0.0016,< LOD,0.004,Passed
PP-8,2565,11-19-2020 06:59,GeoChem,GeoChem Trace,180,6.4007,1.5452,5.4601,0.1987,18.4489,0.1754,0.2832,0.0278,0.0968,0.0088,0.0169,0.0053,0.4544,0.0081,19.8262,0.0337,0.1715,0.0036,0.0022,0.0015,< LOD,0.0009,0.0364,0.0026,1.856,0.0112,< LOD,0.002,0.0031,0.0007,0.0058,0.0006,0.0027,0.0004,0.0002,0.0002,< LOD,0.0003,0.0019,0.0003,0.0255,0.0005,0.002,0.0005,0.0067,0.0004,< LOD,0.0006,< LOD,0.0005,0.0158,0.0007,< LOD,0.0016,0.0051,0.0011,< LOD,0.0019,< LOD,0.0118,< LOD,0.0049,< LOD,0.015,< LOD,0.0221,< LOD,0.0078,< LOD,0.0003,< LOD,0.0004,< LOD,0.0006,< LOD,0.0005,< LOD,0.001,< LOD,0.0003,< LOD,0.0003,< LOD,0.001,< LOD,0.0011,< LOD,0.0015,< LOD,0.0039,Passed
PP-8,2566,11-19-2020 07:02,GeoChem,GeoChem Trace,180,3.873,0.901,3.9547,0.1808,15.5108,0.1599,0.2347,0.0257,0.1149,0.0102,0.0299,0.0045,0.3977,0.0078,15.8775,0.0304,0.1774,0.0037,< LOD,0.0016,0.0017,0.001,0.0379,0.0025,1.9681,0.011,< LOD,0.0023,0.0028,0.0008,0.006,0.0006,0.0037,0.0004,0.0002,0.0002,< LOD,0.0003,0.0025,0.0004,0.0344,0.0006,0.0018,0.0005,0.0098,0.0004,< LOD,0.0005,< LOD,0.0005,< LOD,0.0006,< LOD,0.0014,< LOD,0.001,< LOD,0.0018,< LOD,0.0104,< LOD,0.0046,< LOD,0.0132,< LOD,0.0289,,,< LOD,0.0004,< LOD,0.0007,< LOD,0.0008,< LOD,0.0005,< LOD,0.0011,< LOD,0.0003,< LOD,0.0002,< LOD,0.0012,< LOD,0.0013,< LOD,0.0016,< LOD,0.0041,Passed
PP-9,2567,11-24-2020 22:56,GeoChem,GeoChem Trace,180,3.609,0.8491,2.517,0.1614,11.3135,0.1389,0.2577,0.025,0.4677,0.013,0.6887,0.0047,0.1984,0.0069,13.9172,0.0286,0.1408,0.0034,0.0046,0.0016,< LOD,0.0009,0.0287,0.0022,1.5489,0.0096,< LOD,0.0023,0.0032,0.0008,0.0064,0.0005,0.0039,0.0004,< LOD,0.0002,< LOD,0.0003,0.002,0.0004,0.0427,0.0007,0.0014,0.0006,0.0095,0.0004,< LOD,0.0007,< LOD,0.0005,< LOD,0.0006,< LOD,0.0012,< LOD,0.001,< LOD,0.0018,< LOD,0.0105,< LOD,0.0046,< LOD,0.0125,< LOD,0.0197,< LOD,0.0087,< LOD,0.0004,< LOD,0.0004,< LOD,0.0008,< LOD,0.0005,< LOD,0.0012,< LOD,0.0002,< LOD,0.0002,< LOD,0.0013,< LOD,0.0013,< LOD,0.0017,< LOD,0.0043,Passed
PP-9,2568,11-24-2020 23:02,GeoChem,GeoChem Trace,180,5.9648,1.382,4.2638,0.189,17.675,0.171,0.3221,0.0276,0.5728,0.0126,0.8634,0.0073,0.3558,0.0075,16.9104,0.0314,0.1654,0.0036,0.0041,0.0016,0.0017,0.001,0.0385,0.0026,2.2531,0.012,< LOD,0.0023,0.0025,0.0007,0.0073,0.0005,0.0038,0.0004,0.0002,0.0002,< LOD,0.0003,0.0023,0.0003,0.052,0.0006,0.0015,0.0005,0.0109,0.0004,< LOD,0.0005,< LOD,0.0005,,,< LOD,0.0015,0.0013,0.0009,< LOD,0.0016,< LOD,0.0107,< LOD,0.004,< LOD,0.0117,< LOD,0.0171,< LOD,0.0084,< LOD,0.0004,< LOD,0.0003,< LOD,0.0007,< LOD,0.0005,< LOD,0.001,< LOD,0.0003,< LOD,0.0003,< LOD,0.0011,< LOD,0.0011,< LOD,0.0015,< LOD,0.0037,Passed
PP-9,2569,11-24-2020 23:06,GeoChem,GeoChem Trace,180,3.535,1.3694,6.5229,0.2488,27.0198,0.2196,0.462,0.0355,0.6325,0.012,1.2511,0.0127,0.7593,0.0097,25.7626,0.0393,0.2683,0.0047,0.0046,0.002,< LOD,0.0014,0.0581,0.0033,3.5424,0.0164,< LOD,0.0022,0.0031,0.0006,0.0094,0.0007,0.0039,0.0003,0.0002,0.0002,< LOD,0.0002,0.0021,0.0003,0.0458,0.0006,0.0015,0.0004,0.0151,0.0004,< LOD,0.0004,< LOD,0.0004,,,< LOD,0.0017,0.0013,0.0008,< LOD,0.0014,< LOD,0.0091,< LOD,0.0036,< LOD,0.0111,< LOD,0.0147,< LOD,0.0093,< LOD,0.0003,< LOD,0.0005,< LOD,0.0006,< LOD,0.0006,< LOD,0.0009,< LOD,0.0006,< LOD,0.0005,< LOD,0.0009,< LOD,0.001,< LOD,0.0013,< LOD,0.0033,Passed
PP-10,2570,11-24-2020 23:12,GeoChem,GeoChem Trace,180,4.1042,0.9081,3.6305,0.1816,15.7362,0.1626,0.3352,0.0274,0.3677,0.0117,0.068,0.0046,0.4015,0.0079,17.1236,0.0317,0.1729,0.0037,0.0032,0.0016,0.0012,0.001,0.0384,0.0025,1.9545,0.0111,< LOD,0.0023,0.0032,0.0008,0.008,0.0006,0.0037,0.0004,< LOD,0.0002,< LOD,0.0003,0.0014,0.0004,0.0354,0.0006,0.0013,0.0005,0.0076,0.0004,< LOD,0.0006,< LOD,0.0005,< LOD,0.0006,< LOD,0.0013,< LOD,0.0011,< LOD,0.0018,< LOD,0.01,< LOD,0.0045,< LOD,0.0127,< LOD,0.0192,,,< LOD,0.0004,< LOD,0.0004,< LOD,0.0008,< LOD,0.0005,< LOD,0.0011,< LOD,0.0003,< LOD,0.0002,< LOD,0.0012,< LOD,0.0013,< LOD,0.0017,< LOD,0.0041,Passed
PP-10,2571,11-24-2020 23:16,GeoChem,GeoChem Trace,180,3.6286,0.8555,3.959,0.1883,17.2808,0.1702,0.3494,0.0279,0.1813,0.0106,0.0625,0.005,0.4459,0.0082,17.758,0.0323,0.2096,0.004,0.0073,0.0017,< LOD,0.0011,0.0378,0.0026,2.3347,0.0122,< LOD,0.0024,0.0038,0.0009,0.0185,0.0009,0.0038,0.0004,0.0003,0.0002,< LOD,0.0003,0.0015,0.0004,0.0363,0.0006,0.0014,0.0005,0.0074,0.0004,< LOD,0.0005,< LOD,0.0005,< LOD,0.0006,< LOD,0.0014,< LOD,0.001,< LOD,0.0018,< LOD,0.0098,< LOD,0.0046,< LOD,0.0131,< LOD,0.0277,,,< LOD,0.0005,< LOD,0.0007,< LOD,0.0008,< LOD,0.0005,< LOD,0.0012,< LOD,0.0003,< LOD,0.0003,0.0025,0.0012,< LOD,0.0013,< LOD,0.0017,< LOD,0.004,Passed
PP-10,2572,11-24-2020 23:22,GeoChem,GeoChem Trace,180,3.3787,1.0036,3.9764,0.1938,18.0602,0.1749,0.3362,0.0289,0.4645,0.0121,0.1213,0.0053,0.4646,0.0083,19.2587,0.0337,0.2038,0.004,0.0071,0.0017,0.0032,0.0011,0.0407,0.0026,2.3514,0.0125,< LOD,0.0023,0.0034,0.0008,0.0075,0.0006,0.0037,0.0004,0.0002,0.0002,< LOD,0.0003,0.0015,0.0003,0.0453,0.0007,0.0015,0.0005,0.0092,0.0004,< LOD,0.0006,< LOD,0.0005,< LOD,0.0006,< LOD,0.0014,< LOD,0.0009,< LOD,0.0017,< LOD,0.0098,< LOD,0.0043,< LOD,0.0125,< LOD,0.0183,,,< LOD,0.0004,< LOD,0.0004,< LOD,0.0008,< LOD,0.0005,< LOD,0.0011,< LOD,0.0003,< LOD,0.0003,< LOD,0.0011,< LOD,0.0012,< LOD,0.0016,< LOD,0.0039,Passed
PP-11,2573,11-24-2020 23:30,GeoChem,GeoChem Trace,180,4.7494,1.0478,4.6471,0.206,18.1969,0.1779,0.3454,0.0306,1.2157,0.0151,0.1172,0.0064,0.6197,0.009,21.4792,0.0356,0.2342,0.0043,0.0059,0.0019,0.003,0.0012,0.0467,0.0029,2.5918,0.0135,< LOD,0.0023,0.0026,0.0006,0.0058,0.0005,0.0026,0.0003,< LOD,0.0002,< LOD,0.0002,0.0018,0.0003,0.0366,0.0005,0.0014,0.0004,0.0088,0.0003,0.0006,0.0004,< LOD,0.0004,< LOD,0.0007,< LOD,0.0016,< LOD,0.0008,< LOD,0.0015,< LOD,0.0108,< LOD,0.0037,< LOD,0.0106,< LOD,0.0221,,,< LOD,0.0003,< LOD,0.0006,< LOD,0.0007,< LOD,0.0005,< LOD,0.0009,< LOD,0.0004,< LOD,0.0004,< LOD,0.0009,< LOD,0.001,< LOD,0.0014,< LOD,0.0034,Passed
PP-11,2574,11-24-2020 23:34,GeoChem,GeoChem Trace,180,4.2965,1.193,4.9688,0.2202,20.0361,0.19,0.3494,0.0327,0.4196,0.0108,0.1575,0.0069,0.6661,0.0095,25.7167,0.039,0.2426,0.0045,0.0063,0.0019,< LOD,0.0012,0.0392,0.0029,2.4677,0.0136,< LOD,0.0021,0.002,0.0006,0.0055,0.0006,0.0024,0.0003,< LOD,0.0002,< LOD,0.0003,0.0013,0.0003,0.0263,0.0005,0.0009,0.0004,0.0061,0.0003,< LOD,0.0004,< LOD,0.0004,,,< LOD,0.0016,< LOD,0.0008,< LOD,0.0015,< LOD,0.0101,< LOD,0.0038,< LOD,0.0112,< LOD,0.0161,< LOD,0.0093,< LOD,0.0003,< LOD,0.0006,< LOD,0.0006,< LOD,0.0005,< LOD,0.0009,< LOD,0.0005,< LOD,0.0004,< LOD,0.001,< LOD,0.0011,< LOD,0.0014,< LOD,0.0034,Passed
PP-11,2575,11-24-2020 23:38,GeoChem,GeoChem Trace,180,2.9836,0.9454,4.0454,0.196,17.1166,0.1713,0.2255,0.0286,0.6026,0.013,0.0969,0.0052,0.5028,0.0086,19.4731,0.0339,0.2116,0.0041,0.0046,0.0018,< LOD,0.0011,0.0297,0.0025,2.1004,0.0119,< LOD,0.0023,0.0026,0.0006,0.0051,0.0005,0.0026,0.0003,< LOD,0.0002,< LOD,0.0003,0.0017,0.0003,0.0242,0.0005,0.0011,0.0005,0.0075,0.0003,< LOD,0.0005,< LOD,0.0004,< LOD,0.0006,< LOD,0.0015,< LOD,0.0008,< LOD,0.0015,< LOD,0.0106,< LOD,0.0038,< LOD,0.011,< LOD,0.0235,,,< LOD,0.0003,< LOD,0.0006,< LOD,0.0007,< LOD,0.0005,< LOD,0.0009,< LOD,0.0003,< LOD,0.0003,< LOD,0.001,< LOD,0.0011,< LOD,0.0014,< LOD,0.0035,Passed
PP-12,2576,11-24-2020 23:43,GeoChem,GeoChem Trace,180,2.554,0.6479,1.4183,0.1347,8.0971,0.1163,0.1472,0.0207,0.1089,0.0111,0.0272,0.0022,0.0732,0.0061,8.707,0.0226,0.1068,0.003,0.0023,0.0014,< LOD,0.0008,0.0143,0.0015,0.7236,0.0061,< LOD,0.0018,0.0036,0.0011,0.0052,0.0006,0.0029,0.0006,0.0003,0.0002,< LOD,0.0004,0.0015,0.0005,0.0257,0.0008,< LOD,0.0008,0.0083,0.0006,< LOD,0.0008,< LOD,0.0008,< LOD,0.0005,< LOD,0.001,< LOD,0.0015,< LOD,0.0025,< LOD,0.0092,< LOD,0.0064,< LOD,0.0209,< LOD,0.0277,< LOD,0.0083,< LOD,0.0005,< LOD,0.001,< LOD,0.0011,< LOD,0.0004,< LOD,0.0016,< LOD,0.0001,< LOD,0.0001,< LOD,0.0019,< LOD,0.0019,< LOD,0.0023,< LOD,0.006,Passed
PP-12,2577,11-24-2020 23:50,GeoChem,GeoChem Trace,180,2.9977,0.6636,1.5514,0.1319,6.5345,0.1058,0.1032,0.0202,0.5609,0.0139,0.0347,0.0021,0.0439,0.0059,8.3059,0.022,0.0843,0.0027,< LOD,0.0013,< LOD,0.0007,0.0092,0.0013,0.6079,0.0056,< LOD,0.0017,0.0037,0.0012,0.0053,0.0006,0.0032,0.0006,< LOD,0.0002,< LOD,0.0005,0.0019,0.0006,0.0283,0.0009,< LOD,0.0008,0.0086,0.0006,< LOD,0.0008,< LOD,0.0008,< LOD,0.0004,< LOD,0.001,< LOD,0.0018,< LOD,0.0038,< LOD,0.0088,< LOD,0.0049,< LOD,0.0184,< LOD,0.0453,,,< LOD,0.0006,< LOD,0.0011,< LOD,0.0013,< LOD,0.0004,< LOD,0.0018,< LOD,0.0001,< LOD,0.0001,< LOD,0.0019,< LOD,0.002,< LOD,0.0025,< LOD,0.006,Passed
PP-12,2578,11-24-2020 23:54,GeoChem,GeoChem Trace,180,3.2039,0.8473,3.5765,0.179,15.3831,0.1603,0.2892,0.0266,0.1985,0.0107,0.0198,0.0042,0.477,0.0083,16.8203,0.0314,0.1877,0.0038,0.0041,0.0016,< LOD,0.001,0.0299,0.0023,1.686,0.0103,< LOD,0.0021,0.0029,0.0008,0.0063,0.0006,0.0036,0.0004,0.0002,0.0002,< LOD,0.0003,0.0021,0.0004,0.0309,0.0006,0.0015,0.0006,0.0097,0.0004,< LOD,0.0005,< LOD,0.0007,< LOD,0.0006,< LOD,0.0013,< LOD,0.0011,< LOD,0.0027,< LOD,0.0097,< LOD,0.0034,< LOD,0.0138,< LOD,0.0207,,,< LOD,0.0004,< LOD,0.0007,< LOD,0.0008,< LOD,0.0005,< LOD,0.0012,< LOD,0.0003,< LOD,0.0002,< LOD,0.0014,< LOD,0.0014,< LOD,0.0018,< LOD,0.0045,Passed
PP-13,2579,11-24-2020 23:59,GeoChem,GeoChem Trace,180,7.4036,1.4454,5.9409,0.2194,23.7329,0.2018,0.6703,0.033,0.2615,0.0093,0.0742,0.0071,0.7466,0.0093,23.073,0.0366,0.2095,0.0041,0.0051,0.0017,< LOD,0.0011,0.0507,0.003,2.7547,0.0141,< LOD,0.0021,0.0042,0.0008,0.0132,0.0008,0.0055,0.0004,0.0003,0.0002,< LOD,0.0003,0.0022,0.0003,0.0533,0.0007,0.0017,0.0005,0.0108,0.0004,< LOD,0.0004,< LOD,0.0005,,,< LOD,0.0016,< LOD,0.0009,< LOD,0.0016,< LOD,0.0091,< LOD,0.004,< LOD,0.0119,< LOD,0.0235,< LOD,0.0082,< LOD,0.0004,< LOD,0.0006,< LOD,0.0007,< LOD,0.0005,< LOD,0.001,< LOD,0.0005,< LOD,0.0004,0.002,0.0011,< LOD,0.0012,< LOD,0.0015,< LOD,0.0038,Passed
PP-13,2580,11-25-2020 00:02,GeoChem,GeoChem Trace,180,2.0932,1.0025,4.5156,0.2091,21.2931,0.1913,0.5744,0.0323,0.2787,0.0109,0.0707,0.0058,0.6354,0.0091,21.9728,0.0361,0.2069,0.0041,0.0056,0.0018,< LOD,0.0011,0.0387,0.0027,2.1353,0.0122,< LOD,0.002,0.0031,0.0007,0.0116,0.0007,0.0047,0.0004,0.0004,0.0002,< LOD,0.0003,0.0019,0.0003,0.0461,0.0006,0.0013,0.0005,0.0098,0.0004,< LOD,0.0004,< LOD,0.0005,< LOD,0.0006,< LOD,0.0015,< LOD,0.0009,< LOD,0.0022,< LOD,0.0095,< LOD,0.0039,< LOD,0.0119,< LOD,0.0166,< LOD,0.0089,< LOD,0.0004,< LOD,0.0004,< LOD,0.0007,< LOD,0.0005,< LOD,0.001,< LOD,0.0004,< LOD,0.0003,< LOD,0.0011,< LOD,0.0012,< LOD,0.0015,< LOD,0.0037,Passed
PP-13,2581,11-25-2020 00:06,GeoChem,GeoChem Trace,180,4.1462,0.8328,3.4431,0.1817,15.976,0.1643,0.4769,0.0286,0.2334,0.0109,0.0753,0.0047,0.4336,0.0081,17.6402,0.0321,0.1621,0.0037,0.0042,0.0016,< LOD,0.001,0.0274,0.0022,1.5035,0.0098,< LOD,0.002,0.0027,0.0008,0.0091,0.0007,0.0048,0.0005,< LOD,0.0002,< LOD,0.0003,0.0021,0.0004,0.0458,0.0007,0.0014,0.0006,0.0099,0.0004,< LOD,0.0005,< LOD,0.0007,< LOD,0.0005,< LOD,0.0013,< LOD,0.0012,< LOD,0.0018,< LOD,0.0095,< LOD,0.0033,< LOD,0.013,< LOD,0.0197,,,< LOD,0.0004,< LOD,0.0004,< LOD,0.0008,< LOD,0.0004,< LOD,0.0012,< LOD,0.0003,< LOD,0.0002,0.0024,0.0013,< LOD,0.0013,< LOD,0.0017,< LOD,0.0043,Passed
PP-14,2582,11-25-2020 00:11,GeoChem,GeoChem Trace,180,4.3657,0.92,4.6861,0.2029,16.4195,0.1707,0.3487,0.0308,0.9656,0.0137,0.0771,0.0057,0.4004,0.0083,23.5224,0.0371,0.1876,0.0041,0.0052,0.0018,< LOD,0.001,0.0231,0.0023,1.7485,0.0112,< LOD,0.002,0.0019,0.0007,0.0061,0.0006,0.0023,0.0004,< LOD,0.0002,< LOD,0.0003,0.0013,0.0003,0.0395,0.0006,0.0012,0.0005,0.0086,0.0004,< LOD,0.0005,< LOD,0.0005,< LOD,0.0006,< LOD,0.0014,< LOD,0.0011,< LOD,0.0025,< LOD,0.0096,< LOD,0.0044,< LOD,0.0153,< LOD,0.0276,,,< LOD,0.0003,< LOD,0.0004,< LOD,0.0008,< LOD,0.0005,< LOD,0.0011,< LOD,0.0004,< LOD,0.0003,< LOD,0.0011,< LOD,0.0013,< LOD,0.0016,< LOD,0.0037,Passed
PP-14,2583,11-25-2020 00:15,GeoChem,GeoChem Trace,180,4.1791,1.0951,5.2036,0.2088,19.164,0.1817,0.273,0.0297,0.1439,0.0096,0.0889,0.0057,0.4708,0.0084,21.5893,0.0356,0.2292,0.0042,0.006,0.0018,< LOD,0.0011,0.0381,0.0027,2.3437,0.0127,< LOD,0.0022,0.0025,0.0007,0.0064,0.0006,0.0025,0.0003,0.0002,0.0002,< LOD,0.0003,0.0018,0.0003,0.0317,0.0005,0.0016,0.0005,0.0087,0.0004,< LOD,0.0004,0.0007,0.0005,< LOD,0.0006,< LOD,0.0015,< LOD,0.001,< LOD,0.0016,< LOD,0.0098,< LOD,0.0041,< LOD,0.0119,< LOD,0.0244,,,< LOD,0.0003,< LOD,0.0006,< LOD,0.0007,< LOD,0.0005,< LOD,0.001,< LOD,0.0004,< LOD,0.0003,< LOD,0.0011,< LOD,0.0011,< LOD,0.0015,< LOD,0.0034,Passed
PP-14,2584,11-25-2020 00:18,GeoChem,GeoChem Trace,180,4.7464,1.1389,5.9204,0.2223,20.4361,0.19,0.3109,0.0316,0.1624,0.0092,0.1159,0.0066,0.5674,0.009,24.6647,0.038,0.2395,0.0044,0.006,0.0018,< LOD,0.0011,0.0392,0.0028,2.58,0.0137,< LOD,0.0022,0.0023,0.0007,0.0076,0.0007,0.0024,0.0003,< LOD,0.0002,< LOD,0.0003,0.0019,0.0003,0.034,0.0006,0.0013,0.0005,0.0091,0.0004,< LOD,0.0004,< LOD,0.0005,< LOD,0.0006,< LOD,0.0015,< LOD,0.0009,< LOD,0.0016,< LOD,0.0092,< LOD,0.004,< LOD,0.0117,< LOD,0.0166,,,< LOD,0.0004,< LOD,0.0003,< LOD,0.0007,< LOD,0.0005,< LOD,0.001,< LOD,0.0004,< LOD,0.0004,< LOD,0.0011,< LOD,0.0012,< LOD,0.0015,< LOD,0.0037,Passed
PP-15,2585,11-25-2020 01:08,GeoChem,GeoChem Trace,180,5.5386,1.0865,4.1189,0.1799,15.72,0.1606,0.2311,0.0256,0.1296,0.0097,0.2083,0.0049,0.3362,0.0074,16.4105,0.0308,0.1505,0.0034,0.0036,0.0015,< LOD,0.0009,0.0222,0.002,1.5261,0.0097,< LOD,0.0019,0.0043,0.0012,0.0087,0.0009,0.0038,0.0006,0.0005,0.0003,< LOD,0.0005,0.0023,0.0006,0.0374,0.0009,0.0019,0.0008,0.0099,0.0006,< LOD,0.0009,< LOD,0.0009,< LOD,0.0005,< LOD,0.0011,< LOD,0.0016,< LOD,0.0036,< LOD,0.0076,< LOD,0.0063,< LOD,0.0215,< LOD,0.0266,,,< LOD,0.0006,< LOD,0.0011,< LOD,0.0012,< LOD,0.0004,< LOD,0.0018,< LOD,0.0002,< LOD,0.0002,< LOD,0.0019,< LOD,0.002,< LOD,0.0024,< LOD,0.0061,Passed
PP-15,2586,11-25-2020 01:13,GeoChem,GeoChem Trace,180,3.7191,1.1699,4.7529,0.1972,17.887,0.1734,0.2547,0.0279,0.202,0.0102,0.2474,0.0056,0.4223,0.0081,19.3714,0.0336,0.1747,0.0037,0.0044,0.0016,< LOD,0.001,0.0284,0.0024,1.965,0.0114,< LOD,0.0021,0.0027,0.0009,0.0071,0.0007,0.0031,0.0004,0.0005,0.0002,< LOD,0.0003,0.0018,0.0004,0.0369,0.0007,0.0015,0.0006,0.0091,0.0005,< LOD,0.0005,< LOD,0.0006,< LOD,0.0006,< LOD,0.0013,< LOD,0.0012,< LOD,0.0019,< LOD,0.0089,< LOD,0.0048,< LOD,0.0137,< LOD,0.0286,,,< LOD,0.0004,< LOD,0.0004,< LOD,0.0008,< LOD,0.0004,< LOD,0.0013,< LOD,0.0003,< LOD,0.0003,< LOD,0.0014,< LOD,0.0015,< LOD,0.0018,< LOD,0.0045,Passed
PP-15,2587,11-25-2020 01:17,GeoChem,GeoChem Trace,180,3.0071,1.276,5.1755,0.2106,19.5082,0.1832,0.2292,0.0296,0.155,0.01,0.2595,0.0061,0.513,0.0086,21.6472,0.0356,0.2211,0.0041,0.0039,0.0017,< LOD,0.0011,0.0307,0.0025,2.1429,0.0122,< LOD,0.0021,0.002,0.0007,0.0062,0.0006,0.0027,0.0004,0.0004,0.0002,< LOD,0.0003,0.0017,0.0003,0.0315,0.0006,0.0014,0.0005,0.009,0.0004,< LOD,0.0005,< LOD,0.0005,< LOD,0.0006,< LOD,0.0015,< LOD,0.0009,< LOD,0.0017,< LOD,0.0097,< LOD,0.0042,< LOD,0.0124,< LOD,0.018,< LOD,0.0072,< LOD,0.0004,0.0007,0.0006,< LOD,0.0007,< LOD,0.0005,< LOD,0.001,< LOD,0.0004,< LOD,0.0003,< LOD,0.0011,< LOD,0.0011,< LOD,0.0015,< LOD,0.0038,Passed
PP-16,2588,11-25-2020 01:22,GeoChem,GeoChem Trace,180,3.0689,0.9846,3.5084,0.1827,15.5808,0.1632,0.3175,0.0279,0.1508,0.0102,0.0542,0.0044,0.3605,0.008,18.9899,0.0333,0.1698,0.0037,0.0036,0.0017,< LOD,0.001,0.0315,0.0024,1.9434,0.0113,< LOD,0.0022,0.0033,0.0008,0.0086,0.0006,0.0036,0.0004,0.0004,0.0002,< LOD,0.0003,0.0015,0.0004,0.0345,0.0006,0.0013,0.0005,0.0079,0.0004,< LOD,0.0006,< LOD,0.0006,< LOD,0.0006,< LOD,0.0013,< LOD,0.001,< LOD,0.0018,< LOD,0.01,< LOD,0.0044,< LOD,0.0155,< LOD,0.0194,< LOD,0.0072,< LOD,0.0004,< LOD,0.0007,< LOD,0.0007,< LOD,0.0005,< LOD,0.0011,< LOD,0.0003,< LOD,0.0002,< LOD,0.0012,< LOD,0.0013,< LOD,0.0016,< LOD,0.0041,Passed
PP-16,2589,11-25-2020 01:27,GeoChem,GeoChem Trace,180,7.8264,1.7259,5.7136,0.2194,22.1789,0.1966,0.4469,0.032,0.1807,0.0087,0.0627,0.0069,0.6261,0.009,23.9643,0.0373,0.2262,0.0042,0.0053,0.0017,< LOD,0.0011,0.0521,0.0029,2.8336,0.0143,< LOD,0.0021,0.0047,0.0009,0.013,0.0009,0.0049,0.0005,< LOD,0.0003,< LOD,0.0004,0.0021,0.0004,0.0452,0.0007,0.0018,0.0006,0.0104,0.0005,< LOD,0.0006,< LOD,0.0006,< LOD,0.0006,< LOD,0.0013,0.0013,0.001,< LOD,0.0018,< LOD,0.0077,< LOD,0.0045,< LOD,0.013,< LOD,0.0177,< LOD,0.0084,< LOD,0.0005,< LOD,0.0008,< LOD,0.0009,< LOD,0.0005,< LOD,0.0013,< LOD,0.0004,< LOD,0.0004,< LOD,0.0014,< LOD,0.0016,< LOD,0.0019,< LOD,0.0046,Passed
PP-16,2590,11-25-2020 01:32,GeoChem,GeoChem Trace,180,4.4791,0.9579,3.7287,0.1848,15.8142,0.1642,0.3677,0.0285,0.6347,0.0127,0.0699,0.0049,0.4065,0.008,19.2558,0.0335,0.1805,0.0038,0.0047,0.0017,< LOD,0.001,0.0357,0.0025,2.124,0.0119,< LOD,0.0023,0.0039,0.0008,0.0076,0.0006,0.0033,0.0004,0.0004,0.0002,< LOD,0.0003,0.0015,0.0004,0.0334,0.0006,0.0021,0.0005,0.0079,0.0004,< LOD,0.0005,< LOD,0.0005,< LOD,0.0006,< LOD,0.0014,< LOD,0.001,< LOD,0.0018,< LOD,0.01,< LOD,0.0032,< LOD,0.0127,< LOD,0.0189,,,< LOD,0.0004,< LOD,0.0007,< LOD,0.0007,< LOD,0.0005,< LOD,0.0012,< LOD,0.0003,< LOD,0.0003,< LOD,0.0012,< LOD,0.0013,< LOD,0.0016,< LOD,0.004,Passed
